UserID,FirstName,LastName,Title,School,City
U1001,Alex,Johnson,student,Greenfield High School,New York
U1002,Emily,Carter,teacher,Greenfield High School,New York
U1003,Michael,Brown,IT,Greenfield High School,New York
U1004,Sophia,Wilson,student,Greenfield High School,New York
U1005,Daniel,Martinez,teacher,Greenfield High School,New York
U1006,Olivia,Anderson,student,Greenfield High School,New York
U1007,James,Taylor,student,Greenfield High School,New York
U1008,Isabella,Thomas,teacher,Greenfield High School,New York
U1009,William,Moore,IT,Greenfield High School,New York
U1010,Ava,Jackson,student,Greenfield High School,New York
U1011,Ethan,White,student,Greenfield High School,New York
U1012,Mia,Harris,teacher,Greenfield High School,New York
U1013,Noah,Martin,student,Greenfield High School,New York
U1014,Charlotte,Thompson,principle,Greenfield High School,New York
U1015,Benjamin,Garcia,student,Greenfield High School,New York
U1016,Lucas,Martinez,student,Greenfield High School,New York
U1017,Amelia,Robinson,teacher,Greenfield High School,New York
U1018,Henry,Clark,student,Greenfield High School,New York
U1019,Evelyn,Rodriguez,IT,Greenfield High School,New York
U1020,Jack,Lewis,student,Greenfield High School,New York
U1021,Liam,Walker,student,Riverside Academy,Chicago
U1022,Harper,Hall,teacher,Riverside Academy,Chicago
U1023,Logan,Allen,IT,Riverside Academy,Chicago
U1024,Abigail,Young,student,Riverside Academy,Chicago
U1025,Jacob,Hernandez,teacher,Riverside Academy,Chicago
U1026,Emily,King,student,Riverside Academy,Chicago
U1027,Matthew,Wright,student,Riverside Academy,Chicago
U1028,Elizabeth,Lopez,teacher,Riverside Academy,Chicago
U1029,David,Hill,IT,Riverside Academy,Chicago
U1030,Sofia,Scott,student,Riverside Academy,Chicago
U1031,Joseph,Green,student,Riverside Academy,Chicago
U1032,Victoria,Adams,teacher,Riverside Academy,Chicago
U1033,Samuel,Baker,student,Riverside Academy,Chicago
U1034,Natalie,Gonzalez,principle,Riverside Academy,Chicago
U1035,Andrew,Nelson,student,Riverside Academy,Chicago
U1036,Christopher,Carter,student,Riverside Academy,Chicago
U1037,Hannah,Mitchell,teacher,Riverside Academy,Chicago
U1038,Joshua,Perez,student,Riverside Academy,Chicago
U1039,Lily,Roberts,IT,Riverside Academy,Chicago
U1040,Ryan,Turner,student,Riverside Academy,Chicago
U1041,Isaac,Phillips,student,Riverside Academy,Chicago
U1042,Grace,Campbell,teacher,Riverside Academy,Chicago
U1043,Anthony,Parker,student,Riverside Academy,Chicago
U1044,Zoe,Evans,student,Riverside Academy,Chicago
U1045,Brandon,Edwards,IT,Riverside Academy,Chicago
U1046,Chloe,Collins,student,Riverside Academy,Chicago
U1047,Justin,Stewart,teacher,Riverside Academy,Chicago
U1048,Audrey,Sanchez,student,Riverside Academy,Chicago
U1049,Kevin,Morris,student,Riverside Academy,Chicago
U1050,Brooklyn,Rogers,student,Riverside Academy,Chicago
